model,comparison,baseline_stage,candidate_stage,image_key,page_key,reference,baseline_hypothesis,candidate_hypothesis,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
surya,raw_to_run_1,raw,run_1,test/12/131/15,test_12_131,రావటంవల్ల,రావటంవటి,గ్రామ టంద కో,0.3333333333333333,0.8888888888888888,0.5555555555555556,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53355312200074,17.191943220997928,-3.341609901002812
surya,raw_to_run_1,raw,run_1,test/12/131/16,test_12_131,బారికేడ్లను,బా కెనో డ్లి సు,,0.8181818181818182,1.0,0.18181818181818177,4.0,1.0,-3.0,0.0,0.0,0.0,0.0,1.0,1.0,20.59565037900029,12.440326641008141,-8.155323737992148
surya,raw_to_run_1,raw,run_1,test/12/131/17,test_12_131,కెనడాలో,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.2804369330006,8.699741273987456,-7.580695659013145
surya,raw_to_run_1,raw,run_1,test/12/131/18,test_12_131,సూచించారు,సూబి రావారు,స్వా ౦ ౮ రు,0.5555555555555556,0.8888888888888888,0.33333333333333326,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.20341777700014,16.870900321009685,-5.332517455990455
surya,raw_to_run_1,raw,run_1,test/12/131/19,test_12_131,బాలికలకు,బౌద్ధకలఘ,బాలికలకు,0.75,0.0,-0.75,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,19.186195666999993,10.35341798599984,-8.832777681000152
surya,raw_to_run_1,raw,run_1,test/12/131/2,test_12_131,చేయగలిగారు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.36375976400086,21.050833966000937,-4.312925797999924
surya,raw_to_run_1,raw,run_1,test/12/131/20,test_12_131,హీరోయిజం,హౌర్ సిం,హౌర్ బ సిం,0.625,0.875,0.25,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.219841100002668,11.563398323007277,-8.65644277699539
surya,raw_to_run_1,raw,run_1,test/12/131/21,test_12_131,రథాభిధమ్,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.95153248099814,13.90497203799896,-7.04656044299918
surya,raw_to_run_1,raw,run_1,test/12/131/22,test_12_131,అభిరుచిగల,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.59294566400058,13.770057618996361,-8.82288804500422
surya,raw_to_run_1,raw,run_1,test/12/131/23,test_12_131,చేసేందుకే,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.14766169900031,9.677502655002172,-9.470159043998137
surya,raw_to_run_1,raw,run_1,test/12/131/24,test_12_131,జేర్చుకుని,భే ప్లు కు ని,భేదపుకుంట్,0.6,0.7,0.09999999999999998,4.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21969020100005,16.212039111997,-3.0076510890030477
surya,raw_to_run_1,raw,run_1,test/12/131/25,test_12_131,ద్వేషికి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.688786523001909,8.367914787988411,-5.3208717350134975
surya,raw_to_run_1,raw,run_1,test/12/131/3,test_12_131,నాకవ్వంబు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.000594673001615,15.983417030001874,-5.017177642999741
surya,raw_to_run_1,raw,run_1,test/12/131/4,test_12_131,పక్షము,పక్షయ,పక్షి ము,0.3333333333333333,0.3333333333333333,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.079070568001043,7.698563990998082,-6.380506577002961
surya,raw_to_run_1,raw,run_1,test/12/131/5,test_12_131,ప్రశ్నలను,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.07985533000101,10.116463395999745,-8.963391934001265
surya,raw_to_run_1,raw,run_1,test/12/131/6,test_12_131,స్పెషలిస్ట్,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.614491557000292,15.519961659010733,-3.0945298979895597
surya,raw_to_run_1,raw,run_1,test/12/131/7,test_12_131,ప్రశంసనీయమని,,డ్రూంసనోయమనీ,1.0,0.3333333333333333,-0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,32.89747157599777,19.562685785989743,-13.334785790008027
surya,raw_to_run_1,raw,run_1,test/12/131/8,test_12_131,పెన్నీ,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.57965351600069,6.5932670530019095,-4.98638646299878
surya,raw_to_run_1,raw,run_1,test/12/131/9,test_12_131,గంగుల,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.20466143700105,7.037895027999184,-7.166766409001866
surya,raw_to_run_1,raw,run_1,test/12/165/1,test_12_165,తయారయ్యాడు,చనానదు,ఆరోగ్యం పోషణ వినోద సౌకర్యాలు,0.8,2.3,1.4999999999999998,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.973967706999247,25.605797417010763,-2.368170289988484
surya,raw_to_run_1,raw,run_1,test/12/165/10,test_12_165,మేలుకంటే,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.873323108000477,11.632013057998847,-9.24131005000163
surya,raw_to_run_1,raw,run_1,test/12/165/11,test_12_165,సింహాసనములో,సింహాసన వేయింొం,సింహాసన వేయింొ,0.7272727272727273,0.6363636363636364,-0.09090909090909094,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33867779600041,23.624108830001205,-5.714568965999206
surya,raw_to_run_1,raw,run_1,test/12/165/12,test_12_165,నవ్వుకుంటూ,న పువి కు ౦ టూ,వ పుష్కర ంటూ,0.8,0.7,-0.10000000000000009,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.841602855998644,22.25347265599703,-1.5881302000016149
surya,raw_to_run_1,raw,run_1,test/12/165/13,test_12_165,ఎందుకునమ్మాలి,ఎండుకునమ్మాలి,ఎండుట నమోదు,0.07692307692307693,0.6153846153846154,0.5384615384615385,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.658323242001643,18.500469877995783,-12.15785336400586
surya,raw_to_run_1,raw,run_1,test/12/165/14,test_12_165,వివిధప్రభుత్వ,ఎ ఎ డి ప చు లో ఎ,ఎనికీ పే హాల్,1.0769230769230769,0.8461538461538461,-0.23076923076923073,7.0,3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.969204771001387,17.880506546003744,-9.088698224997643
surya,raw_to_run_1,raw,run_1,test/12/165/15,test_12_165,ఆశించినంతగా,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,118.05738981499962,28.845946292000008,-89.21144352299962
surya,raw_to_run_1,raw,run_1,test/12/165/16,test_12_165,తగ్గించుకోవాలి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.621030899001198,33.73153990700666,6.110509008005465
surya,raw_to_run_1,raw,run_1,test/12/165/17,test_12_165,అసత్య,అసల్వీ,,0.6,1.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.79675475899785,9.954148225006065,-3.842606533991784
surya,raw_to_run_1,raw,run_1,test/12/165/18,test_12_165,ఫోన్లుచేసి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.244573099000263,11.528323942009592,-6.716249156990671
surya,raw_to_run_1,raw,run_1,test/12/165/19,test_12_165,అంటూ,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.37492658300107,7.261567661000299,-7.113358922000771
surya,raw_to_run_1,raw,run_1,test/12/165/2,test_12_165,భారతమంతటా,,భారతమంత్రితా,1.0,0.4444444444444444,-0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,27.370103796001786,17.347680505990866,-10.02242329001092
surya,raw_to_run_1,raw,run_1,test/12/165/20,test_12_165,త్రిష,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.884045393002452,8.086476437994861,-2.7975689550075913
surya,raw_to_run_1,raw,run_1,test/12/165/3,test_12_165,తదానుగుణంగా,త దౌమ సందార,త్రిప్రామ సందాంగా,0.8181818181818182,1.0909090909090908,0.2727272727272726,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.908469572001195,22.006729590997566,-5.9017399810036295
surya,raw_to_run_1,raw,run_1,test/12/165/4,test_12_165,భక్తుడయినవాడు,భక్తు తలుపబ్బోరు,భక్తు తలుగురా కు,0.7692307692307693,0.6923076923076923,-0.07692307692307698,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6264671300014,33.29806999700668,-2.3283971329947235
surya,raw_to_run_1,raw,run_1,test/12/165/5,test_12_165,ఉండడంతో,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.762561789997562,16.15336110300268,-5.609200686994882
surya,raw_to_run_1,raw,run_1,test/12/165/6,test_12_165,శభాష్,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.292743505000544,9.495572220999748,-3.7971712840007967
surya,raw_to_run_1,raw,run_1,test/12/165/7,test_12_165,కయ్యానికి,కలహావత,కలహాలు,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.995424207001633,16.30245365999872,-0.6929705470029148
surya,raw_to_run_1,raw,run_1,test/12/165/8,test_12_165,అయినప్పుడు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24.93297691599946,16.25272192900593,-8.680254986993532
surya,raw_to_run_1,raw,run_1,test/12/165/9,test_12_165,వేళ్ల,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.233228709999821,6.899340541000129,-2.3338881689996924
surya,raw_to_run_1,raw,run_1,test/12/191/1,test_12_191,బాధల్లో,బాధల్లో,బాధ్యత,0.0,0.42857142857142855,0.42857142857142855,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,14.76673828300045,7.801034810006968,-6.965703472993482
surya,raw_to_run_1,raw,run_1,test/12/191/10,test_12_191,పెట్టుబడే,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.842264584000077,12.179244617000222,-5.663019966999855
surya,raw_to_run_1,raw,run_1,test/12/191/11,test_12_191,థియేటర్లు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.43421637099891,13.954570403002435,-5.4796459679964755
surya,raw_to_run_1,raw,run_1,test/12/191/12,test_12_191,నవంబర్,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.228111238000565,10.357156914004008,-5.870954323996557
surya,raw_to_run_1,raw,run_1,test/12/191/13,test_12_191,జరుగుతుంది,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.818772488000832,17.52346955500252,-6.295302932998311
surya,raw_to_run_1,raw,run_1,test/12/191/14,test_12_191,కార్యోన్ముఖుల్ని,కార్టిస్ నున్న శివాల్ ఎ,కార్పో నుట్టి శివాల్లు,0.9375,0.8125,-0.125,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.65702447700096,29.445492558006663,0.7884680810057034
surya,raw_to_run_1,raw,run_1,test/12/191/15,test_12_191,వీటిపై,,పాటలు,1.0,0.8333333333333334,-0.16666666666666663,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,12.723293379000097,7.527415111006121,-5.195878267993976
surya,raw_to_run_1,raw,run_1,test/12/191/16,test_12_191,ఐ-ప్యాడ్,,పాకా ప్రేమ,1.0,1.125,0.125,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,16.36841668300258,13.560289836997981,-2.8081268460045976
surya,raw_to_run_1,raw,run_1,test/12/191/17,test_12_191,పండ్లను,మరి జ్ఞాను,మరిద్దమ్,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52367570300339,12.266123130990309,-6.257552572013083
