image_key,page_key,model,input_kind,reference,hypothesis,cer,exact_match,categories,error_category_count,evidence_source,category,error,correction,reason
test/9/13/4,test_9_13,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/4,test_9_13,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/4,test_9_13,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/5,test_9_13,surya,raw,తరలించాల్సి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/5,test_9_13,surya,raw,తరలించాల్సి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/5,test_9_13,surya,raw,తరలించాల్సి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/5,test_9_13,surya,raw,తరలించాల్సి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/6,test_9_13,surya,raw,చలనచిత్ర,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/6,test_9_13,surya,raw,చలనచిత్ర,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/6,test_9_13,surya,raw,చలనచిత్ర,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/6,test_9_13,surya,raw,చలనచిత్ర,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/8,test_9_13,surya,raw,సాక్ష్యం,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/8,test_9_13,surya,raw,సాక్ష్యం,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/8,test_9_13,surya,raw,సాక్ష్యం,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/8,test_9_13,surya,raw,సాక్ష్యం,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/9,test_9_13,surya,raw,నిర్ధారించేవారు,నర్మారం చౌదారు,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;word_boundary_split_or_join,3,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/9,test_9_13,surya,raw,నిర్ధారించేవారు,నర్మారం చౌదారు,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;word_boundary_split_or_join,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/9,test_9_13,surya,raw,నిర్ధారించేవారు,నర్మారం చౌదారు,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;word_boundary_split_or_join,3,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/10,test_9_13,surya,raw,ఆగమ,,1.0,False,deletion;missing_output,2,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/10,test_9_13,surya,raw,ఆగమ,,1.0,False,deletion;missing_output,2,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/11,test_9_13,surya,raw,ఊహించని,‍,1.0,False,deletion;diacritic_or_vowel_sign_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/11,test_9_13,surya,raw,ఊహించని,‍,1.0,False,deletion;diacritic_or_vowel_sign_error,2,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/13,test_9_13,surya,raw,విపక్షమైన,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/13,test_9_13,surya,raw,విపక్షమైన,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/13,test_9_13,surya,raw,విపక్షమైన,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/13,test_9_13,surya,raw,విపక్షమైన,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/14,test_9_13,surya,raw,చేతనే,‌,1.0,False,deletion;diacritic_or_vowel_sign_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/14,test_9_13,surya,raw,చేతనే,‌,1.0,False,deletion;diacritic_or_vowel_sign_error,2,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/15,test_9_13,surya,raw,ఇంజనీర్స్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/15,test_9_13,surya,raw,ఇంజనీర్స్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/15,test_9_13,surya,raw,ఇంజనీర్స్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/15,test_9_13,surya,raw,ఇంజనీర్స్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/16,test_9_13,surya,raw,నావి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/16,test_9_13,surya,raw,నావి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/16,test_9_13,surya,raw,నావి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/17,test_9_13,surya,raw,మనమే,మనసు,0.5,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/17,test_9_13,surya,raw,మనమే,మనసు,0.5,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/18,test_9_13,surya,raw,రాసుకుంటే,రామమంటే,0.4444444444444444,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/18,test_9_13,surya,raw,రాసుకుంటే,రామమంటే,0.4444444444444444,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/18,test_9_13,surya,raw,రాసుకుంటే,రామమంటే,0.4444444444444444,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/19,test_9_13,surya,raw,భోగాలకు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/19,test_9_13,surya,raw,భోగాలకు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/19,test_9_13,surya,raw,భోగాలకు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/20,test_9_13,surya,raw,చెల్లింపుదారుల,చెన్నంపుడారులు,0.35714285714285715,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/20,test_9_13,surya,raw,చెల్లింపుదారుల,చెన్నంపుడారులు,0.35714285714285715,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/20,test_9_13,surya,raw,చెల్లింపుదారుల,చెన్నంపుడారులు,0.35714285714285715,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error,3,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/21,test_9_13,surya,raw,మూడోవారంలో,మూడోవారం లాో,0.2,False,diacritic_or_vowel_sign_error;insertion;word_boundary_split_or_join,3,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/21,test_9_13,surya,raw,మూడోవారంలో,మూడోవారం లాో,0.2,False,diacritic_or_vowel_sign_error;insertion;word_boundary_split_or_join,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/21,test_9_13,surya,raw,మూడోవారంలో,మూడోవారం లాో,0.2,False,diacritic_or_vowel_sign_error;insertion;word_boundary_split_or_join,3,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/13/22,test_9_13,surya,raw,కాలేదెందుకో,కొత్తదేందుకా,0.5454545454545454,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error,2,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/22,test_9_13,surya,raw,కాలేదెందుకో,కొత్తదేందుకా,0.5454545454545454,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/23,test_9_13,surya,raw,వినిపించగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/23,test_9_13,surya,raw,వినిపించగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/23,test_9_13,surya,raw,వినిపించగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output,3,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/13/24,test_9_13,surya,raw,ఉత్తరఖండ్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/24,test_9_13,surya,raw,ఉత్తరఖండ్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/24,test_9_13,surya,raw,ఉత్తరఖండ్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/13/24,test_9_13,surya,raw,ఉత్తరఖండ్,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/53/1,test_9_53,surya,raw,సిద్ధమవ్వాల్సిన,సిద్ధమత్తూర్పున,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/1,test_9_53,surya,raw,సిద్ధమవ్వాల్సిన,సిద్ధమత్తూర్పున,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/2,test_9_53,surya,raw,జాగ్రత్తపడాలి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/2,test_9_53,surya,raw,జాగ్రత్తపడాలి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/2,test_9_53,surya,raw,జాగ్రత్తపడాలి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/53/2,test_9_53,surya,raw,జాగ్రత్తపడాలి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/53/3,test_9_53,surya,raw,శబ్దరూపంలో,నేపురూపంలో,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error,3,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/3,test_9_53,surya,raw,శబ్దరూపంలో,నేపురూపంలో,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/3,test_9_53,surya,raw,శబ్దరూపంలో,నేపురూపంలో,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error,3,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,hallucinated_extra_text,,,Unicode/edit alignment rule
test/9/53/4,test_9_53,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,False,base_character_substitution;diacritic_or_vowel_sign_error;hallucinated_extra_text;insertion;virama_or_conjunct_error;word_boundary_split_or_join,6,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/53/5,test_9_53,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/5,test_9_53,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/5,test_9_53,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/53/5,test_9_53,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/5,test_9_53,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/53/6,test_9_53,surya,raw,ఇష్టానుసారంగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/6,test_9_53,surya,raw,ఇష్టానుసారంగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/6,test_9_53,surya,raw,ఇష్టానుసారంగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/53/6,test_9_53,surya,raw,ఇష్టానుసారంగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/53/7,test_9_53,surya,raw,తెల్లవారు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/7,test_9_53,surya,raw,తెల్లవారు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/7,test_9_53,surya,raw,తెల్లవారు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/53/7,test_9_53,surya,raw,తెల్లవారు,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/53/8,test_9_53,surya,raw,నువ్వెలా,సుమ్మెలా,0.375,False,base_character_substitution,1,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/9,test_9_53,surya,raw,గుడ్డిగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/9,test_9_53,surya,raw,గుడ్డిగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/9,test_9_53,surya,raw,గుడ్డిగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/53/9,test_9_53,surya,raw,గుడ్డిగా,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4,deterministic_alignment,missing_output,,,Unicode/edit alignment rule
test/9/53/10,test_9_53,surya,raw,దొరకదు,హారికేదు,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/10,test_9_53,surya,raw,దొరకదు,హారికేదు,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error,2,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/11,test_9_53,surya,raw,మిశ్రా,మతా,0.6666666666666666,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/53/11,test_9_53,surya,raw,మిశ్రా,మతా,0.6666666666666666,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/53/11,test_9_53,surya,raw,మిశ్రా,మతా,0.6666666666666666,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,deletion,,,Unicode/edit alignment rule
test/9/53/11,test_9_53,surya,raw,మిశ్రా,మతా,0.6666666666666666,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/53/12,test_9_53,surya,raw,కూర్చునేందుకు,హార్సు నెందుకు,0.38461538461538464,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;word_boundary_split_or_join,4,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
