image_key,page_key,model,input_kind,operation,category,reference_character,hypothesis_character
test/9/53/5,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ి, 
test/9/53/5,test_9_53,surya,raw,substitution,base_character_substitution,వ,బ
test/9/53/5,test_9_53,surya,raw,insertion,insertion,,హ
test/9/53/5,test_9_53,surya,raw,insertion,virama_or_conjunct_error,,్
test/9/53/5,test_9_53,surya,raw,substitution,base_character_substitution,స,య
test/9/53/6,test_9_53,surya,raw,deletion,deletion,ఇ,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,ష,
test/9/53/6,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,ట,
test/9/53/6,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,న,
test/9/53/6,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,స,
test/9/53/6,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/6,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/53/6,test_9_53,surya,raw,deletion,deletion,గ,
test/9/53/6,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/7,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/7,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ె,
test/9/53/7,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/7,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/7,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/7,test_9_53,surya,raw,deletion,deletion,వ,
test/9/53/7,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/7,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/7,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/8,test_9_53,surya,raw,substitution,base_character_substitution,న,స
test/9/53/8,test_9_53,surya,raw,substitution,base_character_substitution,వ,మ
test/9/53/8,test_9_53,surya,raw,substitution,base_character_substitution,వ,మ
test/9/53/9,test_9_53,surya,raw,deletion,deletion,గ,
test/9/53/9,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/9,test_9_53,surya,raw,deletion,deletion,డ,
test/9/53/9,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/9,test_9_53,surya,raw,deletion,deletion,డ,
test/9/53/9,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/9,test_9_53,surya,raw,deletion,deletion,గ,
test/9/53/9,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/10,test_9_53,surya,raw,substitution,base_character_substitution,ద,హ
test/9/53/10,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ొ,ా
test/9/53/10,test_9_53,surya,raw,insertion,diacritic_or_vowel_sign_error,,ి
test/9/53/10,test_9_53,surya,raw,insertion,diacritic_or_vowel_sign_error,,ే
test/9/53/11,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/11,test_9_53,surya,raw,deletion,deletion,శ,
test/9/53/11,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/11,test_9_53,surya,raw,substitution,base_character_substitution,ర,త
test/9/53/12,test_9_53,surya,raw,substitution,base_character_substitution,క,హ
test/9/53/12,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ూ,ా
test/9/53/12,test_9_53,surya,raw,substitution,base_character_substitution,చ,స
test/9/53/12,test_9_53,surya,raw,insertion,insertion,, 
test/9/53/12,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,ె
test/9/53/13,test_9_53,surya,raw,insertion,diacritic_or_vowel_sign_error,,ే
test/9/53/14,test_9_53,surya,raw,deletion,deletion,వ,
test/9/53/14,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/14,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/14,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/14,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/15,test_9_53,surya,raw,deletion,deletion,మ,
test/9/53/15,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/15,test_9_53,surya,raw,deletion,deletion,ట,
test/9/53/15,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/15,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ో,
test/9/53/16,test_9_53,surya,raw,deletion,deletion,క,
test/9/53/16,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ౌ,
test/9/53/16,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/16,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/16,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/16,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ై,
test/9/53/16,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/16,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/16,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/17,test_9_53,surya,raw,deletion,deletion,ఉ,
test/9/53/17,test_9_53,surya,raw,deletion,deletion,న,
test/9/53/17,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/17,test_9_53,surya,raw,deletion,deletion,న,
test/9/53/17,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/17,test_9_53,surya,raw,deletion,deletion,న,
test/9/53/17,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/53/17,test_9_53,surya,raw,deletion,deletion,ట,
test/9/53/17,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ూ,
test/9/53/18,test_9_53,surya,raw,deletion,deletion,ద,
test/9/53/18,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ీ,
test/9/53/18,test_9_53,surya,raw,deletion,deletion,ప,
test/9/53/18,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/53/19,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ొ,ా
test/9/53/19,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/19,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ప,ు
test/9/53/20,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/20,test_9_53,surya,raw,deletion,deletion,జ,
test/9/53/20,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/20,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/20,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/20,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/20,test_9_53,surya,raw,deletion,deletion,ణ,
test/9/53/20,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/21,test_9_53,surya,raw,deletion,deletion,బ,
test/9/53/21,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/21,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/21,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/21,test_9_53,surya,raw,deletion,deletion,య,
test/9/53/21,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/53/22,test_9_53,surya,raw,insertion,insertion,, 
test/9/53/22,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ా,ొ
test/9/53/22,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ం,ు
test/9/53/23,test_9_53,surya,raw,deletion,deletion,మ,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/23,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,చ,
test/9/53/23,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,ప,
test/9/53/23,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ో,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,వ,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,చ,
test/9/53/23,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/23,test_9_53,surya,raw,deletion,deletion,చ,
test/9/53/23,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/53/24,test_9_53,surya,raw,insertion,insertion,,ఎ
test/9/53/24,test_9_53,surya,raw,substitution,base_character_substitution,వ,న
test/9/53/24,test_9_53,surya,raw,substitution,virama_or_conjunct_error,ొ,్
test/9/53/24,test_9_53,surya,raw,substitution,base_character_substitution,క,న
test/9/53/24,test_9_53,surya,raw,substitution,virama_or_conjunct_error,్,ి
test/9/53/24,test_9_53,surya,raw,insertion,diacritic_or_vowel_sign_error,,ై
test/9/53/24,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ో, 
test/9/65/1,test_9_65,surya,raw,substitution,base_character_substitution,బ,భ
test/9/65/1,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ో,ౌ
test/9/65/1,test_9_65,surya,raw,substitution,base_character_substitution,ర,త
test/9/65/1,test_9_65,surya,raw,deletion,deletion,డ,
test/9/65/1,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/65/1,test_9_65,surya,raw,substitution,base_character_substitution,ల,య
test/9/65/1,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ో,ం
test/9/65/2,test_9_65,surya,raw,deletion,deletion,చ,
test/9/65/2,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ౌ,
test/9/65/2,test_9_65,surya,raw,deletion,deletion,ద,
test/9/65/2,test_9_65,surya,raw,deletion,deletion,ర,
test/9/65/2,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/65/2,test_9_65,surya,raw,deletion,deletion,న,
test/9/65/2,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/65/3,test_9_65,surya,raw,deletion,deletion,స,
test/9/65/3,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/65/3,test_9_65,surya,raw,deletion,deletion,గ,
test/9/65/3,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/65/3,test_9_65,surya,raw,deletion,deletion,న,
test/9/65/3,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ీ,
test/9/65/3,test_9_65,surya,raw,deletion,deletion,ట,
test/9/65/3,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/65/4,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ె,మ
test/9/65/4,test_9_65,surya,raw,substitution,base_character_substitution,మ,క
test/9/65/4,test_9_65,surya,raw,insertion,insertion,,ర
test/9/65/4,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,మ,ి
test/9/65/5,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ె,ి
test/9/65/5,test_9_65,surya,raw,deletion,deletion,ట,
test/9/65/5,test_9_65,surya,raw,substitution,virama_or_conjunct_error,్, 
test/9/65/5,test_9_65,surya,raw,substitution,base_character_substitution,ర,ట
test/9/65/5,test_9_65,surya,raw,insertion,insertion,, 
test/9/65/5,test_9_65,surya,raw,insertion,insertion,,ష
test/9/65/5,test_9_65,surya,raw,insertion,diacritic_or_vowel_sign_error,,ీ
test/9/65/5,test_9_65,surya,raw,insertion,insertion,,ణ
test/9/65/5,test_9_65,surya,raw,substitution,base_character_substitution,వ, 
test/9/65/5,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,బ
test/9/65/5,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,జ,ె
test/9/65/5,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ో,ా
test/9/65/6,test_9_65,surya,raw,deletion,deletion,క,
test/9/65/6,test_9_65,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/65/6,test_9_65,surya,raw,deletion,deletion,ష,
test/9/65/6,test_9_65,surya,raw,deletion,deletion,ణ,
test/9/65/6,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/65/6,test_9_65,surya,raw,deletion,deletion,న,
test/9/65/6,test_9_65,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/65/6,test_9_65,surya,raw,deletion,deletion,న,
test/9/65/6,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ీ,
test/9/65/7,test_9_65,surya,raw,deletion,deletion,య,
test/9/65/7,test_9_65,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/65/7,test_9_65,surya,raw,substitution,base_character_substitution,న,ల
test/9/65/7,test_9_65,surya,raw,substitution,diacritic_or_vowel_sign_error,ా,ు
