image_key,page_key,split,writer_id,page_id,image_index,model,input_kind,reference,hypothesis,cer,wer,exact_match,missing_output,status,elapsed_seconds,source_image_path,input_image_path
test/9/13/13,test_9_13,test,9,13,13,surya,raw,విపక్షమైన,,1.0,1.0,False,True,empty_output,19.839833168996847,ground_truth/sample_set/test/9/13/13.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/13.jpg
test/9/13/14,test_9_13,test,9,13,14,surya,raw,చేతనే,‌,1.0,1.0,False,False,ok,12.676637619995745,ground_truth/sample_set/test/9/13/14.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/14.jpg
test/9/13/15,test_9_13,test,9,13,15,surya,raw,ఇంజనీర్స్,,1.0,1.0,False,True,empty_output,18.834666562004713,ground_truth/sample_set/test/9/13/15.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/15.jpg
test/9/13/16,test_9_13,test,9,13,16,surya,raw,నావి,,1.0,1.0,False,True,empty_output,9.944076201994903,ground_truth/sample_set/test/9/13/16.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/16.jpg
test/9/13/17,test_9_13,test,9,13,17,surya,raw,మనమే,మనసు,0.5,1.0,False,False,ok,14.695531671997742,ground_truth/sample_set/test/9/13/17.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/17.jpg
test/9/13/18,test_9_13,test,9,13,18,surya,raw,రాసుకుంటే,రామమంటే,0.4444444444444444,1.0,False,False,ok,20.780768729004194,ground_truth/sample_set/test/9/13/18.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/18.jpg
test/9/13/19,test_9_13,test,9,13,19,surya,raw,భోగాలకు,,1.0,1.0,False,True,empty_output,16.65519764999044,ground_truth/sample_set/test/9/13/19.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/19.jpg
test/9/13/20,test_9_13,test,9,13,20,surya,raw,చెల్లింపుదారుల,చెన్నంపుడారులు,0.35714285714285715,1.0,False,False,ok,27.696026302000973,ground_truth/sample_set/test/9/13/20.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/20.jpg
test/9/13/21,test_9_13,test,9,13,21,surya,raw,మూడోవారంలో,మూడోవారం లాో,0.2,2.0,False,False,ok,34.97322789199825,ground_truth/sample_set/test/9/13/21.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/21.jpg
test/9/13/22,test_9_13,test,9,13,22,surya,raw,కాలేదెందుకో,కొత్తదేందుకా,0.5454545454545454,1.0,False,False,ok,31.108193830004893,ground_truth/sample_set/test/9/13/22.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/22.jpg
test/9/13/23,test_9_13,test,9,13,23,surya,raw,వినిపించగా,,1.0,1.0,False,True,empty_output,22.392968598011066,ground_truth/sample_set/test/9/13/23.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/23.jpg
test/9/13/24,test_9_13,test,9,13,24,surya,raw,ఉత్తరఖండ్,,1.0,1.0,False,True,empty_output,24.053875065990724,ground_truth/sample_set/test/9/13/24.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/24.jpg
test/9/53/1,test_9_53,test,9,53,1,surya,raw,సిద్ధమవ్వాల్సిన,సిద్ధమత్తూర్పున,0.4,1.0,False,False,ok,34.321366664997186,ground_truth/sample_set/test/9/53/1.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/1.jpg
test/9/53/2,test_9_53,test,9,53,2,surya,raw,జాగ్రత్తపడాలి,,1.0,1.0,False,True,empty_output,34.97282808399177,ground_truth/sample_set/test/9/53/2.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/2.jpg
test/9/53/3,test_9_53,test,9,53,3,surya,raw,శబ్దరూపంలో,నేపురూపంలో,0.4,1.0,False,False,ok,23.325382105002063,ground_truth/sample_set/test/9/53/3.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/3.jpg
test/9/53/4,test_9_53,test,9,53,4,surya,raw,జానపదుల,శ్రీ నవదులు,1.0,2.0,False,False,ok,22.62711026299803,ground_truth/sample_set/test/9/53/4.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/4.jpg
test/9/53/5,test_9_53,test,9,53,5,surya,raw,స్థిరనివాసం,ప్రధాన బాహ్యం,0.8181818181818182,2.0,False,False,ok,21.251183205007692,ground_truth/sample_set/test/9/53/5.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/5.jpg
test/9/53/6,test_9_53,test,9,53,6,surya,raw,ఇష్టానుసారంగా,,1.0,1.0,False,True,empty_output,27.718631364012253,ground_truth/sample_set/test/9/53/6.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/6.jpg
test/9/53/7,test_9_53,test,9,53,7,surya,raw,తెల్లవారు,,1.0,1.0,False,True,empty_output,17.024123299997882,ground_truth/sample_set/test/9/53/7.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/7.jpg
test/9/53/8,test_9_53,test,9,53,8,surya,raw,నువ్వెలా,సుమ్మెలా,0.375,1.0,False,False,ok,15.801836708997143,ground_truth/sample_set/test/9/53/8.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/8.jpg
test/9/53/9,test_9_53,test,9,53,9,surya,raw,గుడ్డిగా,,1.0,1.0,False,True,empty_output,12.894884412002284,ground_truth/sample_set/test/9/53/9.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/9.jpg
test/9/53/10,test_9_53,test,9,53,10,surya,raw,దొరకదు,హారికేదు,0.6666666666666666,1.0,False,False,ok,15.496156236011302,ground_truth/sample_set/test/9/53/10.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/10.jpg
test/9/53/11,test_9_53,test,9,53,11,surya,raw,మిశ్రా,మతా,0.6666666666666666,1.0,False,False,ok,10.985701858997345,ground_truth/sample_set/test/9/53/11.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/11.jpg
test/9/53/12,test_9_53,test,9,53,12,surya,raw,కూర్చునేందుకు,హార్సు నెందుకు,0.38461538461538464,2.0,False,False,ok,30.136442385002738,ground_truth/sample_set/test/9/53/12.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/12.jpg
test/9/53/13,test_9_53,test,9,53,13,surya,raw,బొమ్మలు,బొమ్మేలు,0.14285714285714285,1.0,False,False,ok,16.370137625999632,ground_truth/sample_set/test/9/53/13.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/13.jpg
test/9/53/14,test_9_53,test,9,53,14,surya,raw,వార్త,,1.0,1.0,False,True,empty_output,8.804857205002918,ground_truth/sample_set/test/9/53/14.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/14.jpg
test/9/53/15,test_9_53,test,9,53,15,surya,raw,మాటలో,,1.0,1.0,False,True,empty_output,15.39027681700827,ground_truth/sample_set/test/9/53/15.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/15.jpg
test/9/53/16,test_9_53,test,9,53,16,surya,raw,కౌలురైతుల,,1.0,1.0,False,True,empty_output,24.675912783000967,ground_truth/sample_set/test/9/53/16.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/16.jpg
test/9/53/17,test_9_53,test,9,53,17,surya,raw,ఉన్నానంటూ,,1.0,1.0,False,True,empty_output,24.075833002003492,ground_truth/sample_set/test/9/53/17.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/17.jpg
test/9/53/18,test_9_53,test,9,53,18,surya,raw,దీపం,,1.0,1.0,False,True,empty_output,11.413550247991225,ground_truth/sample_set/test/9/53/18.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/18.jpg
test/9/53/19,test_9_53,test,9,53,19,surya,raw,గొప్ప,గాపు,0.6,1.0,False,False,ok,10.920221491003758,ground_truth/sample_set/test/9/53/19.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/19.jpg
test/9/53/20,test_9_53,test,9,53,20,surya,raw,రజితరాణి,,1.0,1.0,False,True,empty_output,22.94121493100829,ground_truth/sample_set/test/9/53/20.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/20.jpg
test/9/53/21,test_9_53,test,9,53,21,surya,raw,బాల్యం,,1.0,1.0,False,True,empty_output,17.354347179993056,ground_truth/sample_set/test/9/53/21.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/21.jpg
test/9/53/22,test_9_53,test,9,53,22,surya,raw,గర్వకారణం,గర్వ కొరణు,0.3333333333333333,2.0,False,False,ok,21.669225060002645,ground_truth/sample_set/test/9/53/22.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/22.jpg
test/9/53/23,test_9_53,test,9,53,23,surya,raw,మర్చిపోవచ్చు,,1.0,1.0,False,True,empty_output,26.34311910899123,ground_truth/sample_set/test/9/53/23.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/23.jpg
test/9/53/24,test_9_53,test,9,53,24,surya,raw,వొక్కోసారి,ఎన్నికై సారి,0.7,2.0,False,False,ok,18.97510743798921,ground_truth/sample_set/test/9/53/24.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/53/24.jpg
test/9/65/1,test_9_65,test,9,65,1,surya,raw,బోర్డులో,భౌత్యం,0.875,1.0,False,False,ok,15.704901881006663,ground_truth/sample_set/test/9/65/1.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/1.jpg
test/9/65/2,test_9_65,test,9,65,2,surya,raw,చౌదరిని,,1.0,1.0,False,True,empty_output,16.097430228997837,ground_truth/sample_set/test/9/65/2.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/2.jpg
test/9/65/3,test_9_65,test,9,65,3,surya,raw,సాగునీటి,,1.0,1.0,False,True,empty_output,16.821777673001634,ground_truth/sample_set/test/9/65/3.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/3.jpg
test/9/65/4,test_9_65,test,9,65,4,surya,raw,తెమ్మంది,తమక్రింది,0.5,1.0,False,False,ok,19.03030427500198,ground_truth/sample_set/test/9/65/4.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/4.jpg
test/9/65/5,test_9_65,test,9,65,5,surya,raw,వెంట్రిలాక్విజంలో,విం టిలా క్షీణ బెంలా,0.7058823529411765,4.0,False,False,ok,34.34202147299948,ground_truth/sample_set/test/9/65/5.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/5.jpg
test/9/65/6,test_9_65,test,9,65,6,surya,raw,క్షణాన్నీ,,1.0,1.0,False,True,empty_output,16.679546188010136,ground_truth/sample_set/test/9/65/6.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/6.jpg
test/9/65/7,test_9_65,test,9,65,7,surya,raw,కథయినా,కథలు,0.6666666666666666,1.0,False,False,ok,16.738482300002943,ground_truth/sample_set/test/9/65/7.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/7.jpg
test/9/65/8,test_9_65,test,9,65,8,surya,raw,తప్పిందా,తోష్కరించి,0.75,1.0,False,False,ok,19.847680503007723,ground_truth/sample_set/test/9/65/8.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/8.jpg
test/9/65/9,test_9_65,test,9,65,9,surya,raw,జట్లతో,,1.0,1.0,False,True,empty_output,14.101300652997452,ground_truth/sample_set/test/9/65/9.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/9.jpg
test/9/65/10,test_9_65,test,9,65,10,surya,raw,పంపించారు,మరియు చారిత్రు,1.1111111111111112,2.0,False,False,ok,26.420472459001758,ground_truth/sample_set/test/9/65/10.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/10.jpg
test/9/65/11,test_9_65,test,9,65,11,surya,raw,ఆమోదముద్ర,,1.0,1.0,False,True,empty_output,25.402225991001615,ground_truth/sample_set/test/9/65/11.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/11.jpg
test/9/65/12,test_9_65,test,9,65,12,surya,raw,జవాబు,,1.0,1.0,False,True,empty_output,13.59981710899956,ground_truth/sample_set/test/9/65/12.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/12.jpg
test/9/65/13,test_9_65,test,9,65,13,surya,raw,నిర్ణయించాను,నీటి బలంకాసు,0.6666666666666666,2.0,False,False,ok,25.062688713998796,ground_truth/sample_set/test/9/65/13.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/13.jpg
test/9/65/14,test_9_65,test,9,65,14,surya,raw,జీవావరణ,,1.0,1.0,False,True,empty_output,18.504361045001133,ground_truth/sample_set/test/9/65/14.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/14.jpg
test/9/65/15,test_9_65,test,9,65,15,surya,raw,ఎగిసిపడే,మాసేటివో,1.0,1.0,False,False,ok,17.034233051002957,ground_truth/sample_set/test/9/65/15.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/15.jpg
test/9/65/16,test_9_65,test,9,65,16,surya,raw,బృందానికి,,1.0,1.0,False,True,empty_output,19.567492071000743,ground_truth/sample_set/test/9/65/16.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/16.jpg
test/9/65/17,test_9_65,test,9,65,17,surya,raw,శంకర,నందేర,0.75,1.0,False,False,ok,12.409902372000943,ground_truth/sample_set/test/9/65/17.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/17.jpg
test/9/65/18,test_9_65,test,9,65,18,surya,raw,ఎమిలిజోలా,విమర్శకత్వం,1.1111111111111112,1.0,False,False,ok,21.22719483000037,ground_truth/sample_set/test/9/65/18.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/18.jpg
test/9/65/19,test_9_65,test,9,65,19,surya,raw,తరలివచ్చి,,1.0,1.0,False,True,empty_output,19.8665822030016,ground_truth/sample_set/test/9/65/19.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/19.jpg
test/9/65/20,test_9_65,test,9,65,20,surya,raw,సేవలకు,,1.0,1.0,False,True,empty_output,16.206650094998622,ground_truth/sample_set/test/9/65/20.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/20.jpg
test/9/65/21,test_9_65,test,9,65,21,surya,raw,కొనుగోళ్లపై,కొనుగోళ్ళు,0.2727272727272727,1.0,False,False,ok,19.114119990998006,ground_truth/sample_set/test/9/65/21.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/21.jpg
test/9/65/22,test_9_65,test,9,65,22,surya,raw,చేసావు,‌,1.0,1.0,False,False,ok,14.690916522999032,ground_truth/sample_set/test/9/65/22.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/22.jpg
test/9/65/23,test_9_65,test,9,65,23,surya,raw,చిల్లులు,,1.0,1.0,False,True,empty_output,15.284371073998045,ground_truth/sample_set/test/9/65/23.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/23.jpg
test/9/65/24,test_9_65,test,9,65,24,surya,raw,కాంట్రాక్టర్,కొంటుపైన్,0.6666666666666666,1.0,False,False,ok,18.649266148000606,ground_truth/sample_set/test/9/65/24.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/24.jpg
test/9/65/25,test_9_65,test,9,65,25,surya,raw,కాజు,కొను,0.5,1.0,False,False,ok,9.568248899999162,ground_truth/sample_set/test/9/65/25.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/25.jpg
test/9/65/26,test_9_65,test,9,65,26,surya,raw,వారిద్దరి,,1.0,1.0,False,True,empty_output,42.55841488299848,ground_truth/sample_set/test/9/65/26.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/65/26.jpg
test/9/91/2,test_9_91,test,9,91,2,surya,raw,నిర్దేశిస్తున్నాయి,నిర్దేశిస్తున్నాయి,0.0,0.0,True,False,ok,28.981277955001133,ground_truth/sample_set/test/9/91/2.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/2.jpg
test/9/91/3,test_9_91,test,9,91,3,surya,raw,డాలర్లకు,‍,1.0,1.0,False,False,ok,17.981811875997664,ground_truth/sample_set/test/9/91/3.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/3.jpg
test/9/91/4,test_9_91,test,9,91,4,surya,raw,కాంట్రాక్టును,కొంటూ ప్రేమ,0.6923076923076923,2.0,False,False,ok,24.952482363001764,ground_truth/sample_set/test/9/91/4.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/4.jpg
test/9/91/5,test_9_91,test,9,91,5,surya,raw,స్లోగా,,1.0,1.0,False,True,empty_output,9.84564382300232,ground_truth/sample_set/test/9/91/5.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/5.jpg
test/9/91/6,test_9_91,test,9,91,6,surya,raw,మాత,పాలిత,1.0,1.0,False,False,ok,11.39601776100244,ground_truth/sample_set/test/9/91/6.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/6.jpg
test/9/91/7,test_9_91,test,9,91,7,surya,raw,బాసిల్,,1.0,1.0,False,True,empty_output,13.499737565001851,ground_truth/sample_set/test/9/91/7.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/7.jpg
test/9/91/8,test_9_91,test,9,91,8,surya,raw,పదివేల,పదివేల,0.0,0.0,True,False,ok,15.310090443002991,ground_truth/sample_set/test/9/91/8.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/8.jpg
test/9/91/9,test_9_91,test,9,91,9,surya,raw,కనిపించక,వేని మంచి రక,0.875,3.0,False,False,ok,19.60734677000073,ground_truth/sample_set/test/9/91/9.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/9.jpg
test/9/91/10,test_9_91,test,9,91,10,surya,raw,ఆదరించడం,‌,1.0,1.0,False,False,ok,28.469624712997756,ground_truth/sample_set/test/9/91/10.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/10.jpg
test/9/91/11,test_9_91,test,9,91,11,surya,raw,కుర్చీలోనే,పుట్టి లాగే,0.7,2.0,False,False,ok,19.412360880996857,ground_truth/sample_set/test/9/91/11.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/11.jpg
test/9/91/12,test_9_91,test,9,91,12,surya,raw,అనేశాడు,,1.0,1.0,False,True,empty_output,17.29542308999953,ground_truth/sample_set/test/9/91/12.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/12.jpg
test/9/91/13,test_9_91,test,9,91,13,surya,raw,చూపించండి,,1.0,1.0,False,True,empty_output,24.46519162200275,ground_truth/sample_set/test/9/91/13.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/13.jpg
test/9/91/14,test_9_91,test,9,91,14,surya,raw,ప్రతినాయకుల,దేవీ నామమేల,0.7272727272727273,2.0,False,False,ok,26.795465815997886,ground_truth/sample_set/test/9/91/14.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/14.jpg
test/9/91/15,test_9_91,test,9,91,15,surya,raw,ప్రజాధనమే,,1.0,1.0,False,True,empty_output,21.51452067500213,ground_truth/sample_set/test/9/91/15.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/15.jpg
test/9/91/16,test_9_91,test,9,91,16,surya,raw,ప్రసార,,1.0,1.0,False,True,empty_output,13.787925291999272,ground_truth/sample_set/test/9/91/16.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/16.jpg
test/9/91/17,test_9_91,test,9,91,17,surya,raw,డాన్సుమాస్టర్,దొన్న మాస్టర్‌,0.38461538461538464,2.0,False,False,ok,28.6073315370013,ground_truth/sample_set/test/9/91/17.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/17.jpg
test/9/91/18,test_9_91,test,9,91,18,surya,raw,బాధించగా,,1.0,1.0,False,True,empty_output,19.75273169999855,ground_truth/sample_set/test/9/91/18.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/18.jpg
test/9/91/19,test_9_91,test,9,91,19,surya,raw,దైవమైన,,1.0,1.0,False,True,empty_output,15.54550209000081,ground_truth/sample_set/test/9/91/19.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/19.jpg
test/9/91/20,test_9_91,test,9,91,20,surya,raw,మంచాన,మరియాన,0.6,1.0,False,False,ok,17.266194197000004,ground_truth/sample_set/test/9/91/20.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/20.jpg
test/9/91/21,test_9_91,test,9,91,21,surya,raw,అశోక,,1.0,1.0,False,True,empty_output,12.72672559000057,ground_truth/sample_set/test/9/91/21.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/21.jpg
test/9/91/22,test_9_91,test,9,91,22,surya,raw,గురువుగా,,1.0,1.0,False,True,empty_output,17.181767922997096,ground_truth/sample_set/test/9/91/22.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/22.jpg
test/9/91/23,test_9_91,test,9,91,23,surya,raw,అనుగుణమైన,గుడి మైన,0.5555555555555556,2.0,False,False,ok,25.090198308000254,ground_truth/sample_set/test/9/91/23.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/23.jpg
test/9/91/24,test_9_91,test,9,91,24,surya,raw,వైపున,,1.0,1.0,False,True,empty_output,12.166686284999741,ground_truth/sample_set/test/9/91/24.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/24.jpg
test/9/91/25,test_9_91,test,9,91,25,surya,raw,ఉండబట్టలేక,‍ ‍,1.0,2.0,False,False,ok,25.622523658999853,ground_truth/sample_set/test/9/91/25.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/25.jpg
test/9/91/26,test_9_91,test,9,91,26,surya,raw,వచ్చేస్తాను,వచ్చిన్తాను,0.18181818181818182,1.0,False,False,ok,20.166424209997786,ground_truth/sample_set/test/9/91/26.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/91/26.jpg
test/9/166/1,test_9_166,test,9,166,1,surya,raw,గ్లీసెన్,,1.0,1.0,False,True,empty_output,11.766052088001743,ground_truth/sample_set/test/9/166/1.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/1.jpg
test/9/166/2,test_9_166,test,9,166,2,surya,raw,నిద్రలో,‌,1.0,1.0,False,False,ok,14.441027421999024,ground_truth/sample_set/test/9/166/2.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/2.jpg
test/9/166/3,test_9_166,test,9,166,3,surya,raw,మాంద్యం,మాంట్సం,0.2857142857142857,1.0,False,False,ok,17.830421716000274,ground_truth/sample_set/test/9/166/3.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/3.jpg
test/9/166/4,test_9_166,test,9,166,4,surya,raw,మాధ్యమాలు,మాధ్యమాలు,0.0,0.0,True,False,ok,22.940788143001555,ground_truth/sample_set/test/9/166/4.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/4.jpg
test/9/166/5,test_9_166,test,9,166,5,surya,raw,బెడద,,1.0,1.0,False,True,empty_output,12.112945569002477,ground_truth/sample_set/test/9/166/5.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/5.jpg
test/9/166/6,test_9_166,test,9,166,6,surya,raw,ఉండిపోయినాడు,దండి పోయినాడు,0.16666666666666666,2.0,False,False,ok,30.757934457000374,ground_truth/sample_set/test/9/166/6.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/6.jpg
test/9/166/7,test_9_166,test,9,166,7,surya,raw,తొక్కిన,,1.0,1.0,False,True,empty_output,13.630536972999835,ground_truth/sample_set/test/9/166/7.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/7.jpg
test/9/166/8,test_9_166,test,9,166,8,surya,raw,ఏర్పడడానికి,విర్ణుడయ్యారో,0.9090909090909091,1.0,False,False,ok,26.183691122998425,ground_truth/sample_set/test/9/166/8.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/8.jpg
test/9/166/9,test_9_166,test,9,166,9,surya,raw,అందరికీ,‌,1.0,1.0,False,False,ok,16.938496513001155,ground_truth/sample_set/test/9/166/9.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/9.jpg
test/9/166/10,test_9_166,test,9,166,10,surya,raw,జయంతి,,1.0,1.0,False,True,empty_output,16.38652176299729,ground_truth/sample_set/test/9/166/10.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/166/10.jpg
